CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
CD33,CD33,CD33 molecule,"sialic acid binding Ig-like lectin 3; CD33 antigen (gp67); SIGLEC3,SIGLEC-3,p67,FLJ00391",Core,,
CD34,CD34,CD34 molecule,CD34 antigen,Core,,
CD36,CD36,CD36 molecule,"SCARB3,GPIV,FAT,GP4,GP3B; CD36 antigen (collagen type I receptor, thrombospondin receptor),CD36 molecule (thrombospondin receptor)",Core,,
CD37,CD37,CD37 molecule,TSPAN26; CD37 antigen,Core,,
CD38,CD38,CD38 molecule,"CD38 antigen (p45); ADP-ribosyl cyclase 1,NAD(+) nucleosidase",Core,,
CD3D,CD3D,CD3 delta subunit of T-cell receptor complex,"CD3DELTA,CD3-DELTA; CD3d antigen, delta polypeptide (TiT3 complex),CD3d molecule, delta (CD3-TCR complex),CD3d molecule; T-cell surface glycoprotein CD3 delta chain",Core,,
CD3E,CD3E,CD3 epsilon subunit of T-cell receptor complex,"CD3epsilon,CD3-epsilon; T-cell surface glycoprotein CD3 epsilon chain; CD3e antigen, epsilon polypeptide (TiT3 complex),CD3e molecule, epsilon (CD3-TCR complex),CD3e molecule",Core,,
CD3G,CD3G,CD3 gamma subunit of T-cell receptor complex,"T-cell surface glycoprotein CD3 gamma chain; CD3-GAMMA,CD3GAMMA; CD3g antigen, gamma polypeptide (TiT3 complex),CD3g molecule, gamma (CD3-TCR complex),CD3g molecule",Core,,
CD4,CD4,CD4 molecule,"CD4 antigen (p55),T-cell surface glycoprotein CD4",Core,,
CD40,CD40,CD40 molecule,"tumor necrosis factor receptor superfamily, member 5,CD40 molecule, TNF receptor superfamily member 5; p50,Bp50",Core,,
CD40LG,CD40LG,CD40 ligand,"CD40 antigen ligand,tumor necrosis factor (ligand) superfamily member 5,T-B cell-activating molecule,TNF-related activation protein,hyper-IgM syndrome; tumor necrosis factor (ligand) superfamily, member 5 (hyper-IgM syndrome); CD40L,TRAP,gp39,hCD40L,CD154,CD40-L,HIGM1,T-BAM",Core,,
CD44,CD44,CD44 molecule (Indian blood group),"hematopoietic cell E- and L-selectin ligand,chondroitin sulfate proteoglycan 8; CD44 antigen (homing function and Indian blood group system); IN,MC56,Pgp1,CD44R,HCELL,CSPG8",Core,,
